OBJECTID,PRKID,PRKNAME,PRKADDR,STREETNO,STREETDIR,STREETNM,STREETTYPE,STREETSUFF,CITY,STATE,ZIP,PRKTYPE,PRKSTATUS,PRKDIST,PRKSIZE,PRKXCOORD,PRKYCOORD,PRKPHONE,PRKAGE,PRKADAACC,CITYCOUNCI,BOCC,PRKDATE,USERID,UPSIZE_TS,X,Y,LEASEDID
182,SVCT,Southview Recreation Center,1720 VILMA ST,1720, ,VILMA,ST, ,CHARLOTTE,NC,28208,Recreation Center,Developed,Central,,,,9803141105,,,District 3,District 2,1999/04/29 00:00:00+00,,,1427424.50720131,537420.94660609,Mecklenburg
183,GRDY,Grady Cole Center,310 N KINGS DR,310,N,KINGS,DR, ,CHARLOTTE,NC,28204,Event Venue,Developed,Central,,,,7043362884,,,District 1,District 4,1998/07/28 00:00:00+00,,,1453709.89873609,539716.09938563,Mecklenburg
184,CSDC,Community School of Davidson Athletic Complex,13828 BEATTIES FORD RD,13828,,BEATTIES FORD,RD,,HUNTERSVILLE,NC,28078,Town Park,Developed,North,,,,7047662220,,,,District 1,2020/01/01 00:00:00+00,,,1426479.28769198,607324.32650928,Huntersville
185,HIKV,Hickory View Park,14942 HICKORY VIEW LN,14942,,HICKORY VIEW,LN,,CHARLOTTE,NC,28278,Community,Undeveloped,South,,,,9803141003,,,,District 6,,,,1396765.93260835,492121.43196066,Mecklenburg
186,HOSK,Eva B. Barber Park,3801 GOSSETT AV,3801, ,GOSSETT,AV, ,CHARLOTTE,NC,28208,Neighborhood,Developed,North,,,,9803141001,,,District 2,District 2,1998/07/28 00:00:00+00,,,1437463.88268001,554782.88348001,Mecklenburg
187,SEVP,Seversville Park,540 S BRUNS AV,540,S,BRUNS,AV, ,CHARLOTTE,NC,28217,Neighborhood,Developed,Central,,,,9803141002,,,District 2,District 2,2002/04/03 00:00:00+00,,,1442707.19443598,547178.62083077,Mecklenburg
188,GATE,Iswa Nature Preserve,9909 WILKINSON BV,9701, ,WILKINSON,BV, ,CHARLOTTE,NC,28214,Nature Preserve,Developed,South,,,,9803141003,,,,District 2,1998/07/28 00:00:00+00,,,1401188.99987768,550085.00008842,Mecklenburg
189,BIDD,Biddleville Park,500 ANDRILL TR,500, ,ANDRILL,TR, ,CHARLOTTE,NC,28216,Neighborhood,Developed,Central,,,,9803141002,,,District 1,District 2,2007/07/09 00:00:00+00,,,1447589.61352105,548667.25206861,Mecklenburg
190,MLKR,Martin Luther King Jr. Middle School Site,500 BILMARK AV,0, , , , ,CHARLOTTE,NC,28213,Recreation Center,Developed,North,,,,9803141124,,,District 1,District 3,,,,1468942.50693062,555464.07242847,Mecklenburg
191,VETS,Veterans Park,2136 CENTRAL AV,2136, ,CENTRAL,AV, ,CHARLOTTE,NC,28205,Neighborhood,Developed,Central,,,,9803141002,,,District 1,District 4,1998/07/28 00:00:00+00,,,1461194.79153892,539774.37739188,Mecklenburg
192,LNCM,Lake Norman Charter Middle School Gymnasium,12435 OLD STATESVILLE RD,12435,,OLD STATESVILLE,RD,,HUNTERSVILLE,NC,28078,Recreation Center,Developed,North,,,,7047662220,,,,District 1,,,,1452996.21486312,602281.20672755,Huntersville
193,OAKT,Oakhurst Park,3533 CRAIG AV,3533, ,CRAIG,AV, ,CHARLOTTE,NC,28211,Neighborhood,Developed,South,,,,9803141003,,,District 5,District 5,1998/07/28 00:00:00+00,,,1465359.69576316,529298.59521529,Mecklenburg
194,REVC,Revolution Park Sports Academy,1225 REMOUNT RD,1225, ,REMOUNT,RD, ,CHARLOTTE,NC,28208,Recreation Center,Developed,Central,,,,9803141116,,,District 3,District 2,1998/07/28 00:00:00+00,,,1438886.59500879,538088.90340038,Mecklenburg
195,COLL,Collins Park,4525 COLLINGWOOD DR,4525, ,COLLINGWOOD,DR, ,CHARLOTTE,NC,28209,Neighborhood,Developed,Central,,,,9803141002,,,District 1,District 5,1998/07/28 00:00:00+00,,,1440896.75023103,526061.00023103,Mecklenburg
196,REDD,Reddman Road Park,6350 REDDMAN RD,6350, ,REDDMAN,RD, ,CHARLOTTE,NC,28212,Community,Undeveloped,South,,,,9803141003,,,District 5,District 4,2003/07/11 00:00:00+00,,,1477267.2523375,530855.02239375,Mecklenburg
197,REVP,Revolution Park,2433 BARRINGER DR,2433, ,BARRINGER,DR, ,CHARLOTTE,NC,28208,Community,Developed,Central,,,,9803141002,,,District 3,District 2,1998/07/28 00:00:00+00,,,1439591.37673864,538625.53140013,Mecklenburg
198,WILM,Wilmore Park,900 SPRUCE ST,900, ,SPRUCE,ST, ,CHARLOTTE,NC,28203,Neighborhood,Developed,Central,,,,9803141002,,,District 3,District 2,1998/07/28 00:00:00+00,,,1442129.57117838,540638.28389107,Mecklenburg
199,BRRC,Bailey Road Recreation Center,11900 BAILEY RD,11900,,BAILEY,RD,,CORNELIUS,NC,28031,Recreation Center,Developed,North,,,,7048926031,,,,District 1,2006/08/01 00:00:00+00,,,1453247.65868777,630099.88073282,Cornelius
200,JUPK,Julian Underwood Park,5400 GALWAY DR,5400, ,GALWAY,DR, ,CHARLOTTE,NC,28215,Neighborhood,Developed,South,,,,9803141003,,,District 1,District 3,1998/07/28 00:00:00+00,,,1475166.98801653,547499.49360551,Mecklenburg
201,WPRC,Wallace Pruitt Recreation Center,501 S BRUNS AV,0, , , , ,CHARLOTTE,NC,28208,Recreation Center,Developed,Central,,,,9803141114,,,District 2,District 2,,,,1443170.69923046,547226.37335412,Mecklenburg
202,DEVS,Devonshire Park,6330 BARRINGTON DR,6330, ,BARRINGTON,DR, ,CHARLOTTE,NC,28215,Neighborhood,Developed,North,,,,9803141001,,,District 1,District 3,1998/07/28 00:00:00+00,,,1478858.01460408,549509.81411056,Mecklenburg
203,RSPK,Renaissance Park,1536 W TYVOLA RD,1536,W,TYVOLA,RD, ,CHARLOTTE,NC,28217,Regional,Developed,South,,,,9803141003,,,District 3,District 2,2002/02/01 00:00:00+00,,,1429340.23477829,524412.79068333,Mecklenburg
204,COWW,Cowans Ford Wildlife Refuge,2329 NECK RD,0, ,NO ADDRESS, , ,HUNTERSVILLE,NC,28078,Nature Preserve,Developed,North,,,,9803141001,,,,District 1,1998/08/04 00:00:00+00,,,1411765.58298039,596232.05761166,Mecklenburg
205,MCCG,McAlpine Creek Community Garden,399 HOLLY LN,399,,HOLLY,LN,,CHARLOTTE,NC,28212,Community Garden,Developed,South,,,,9803141000,,,District 6,District 5,2018/08/24 00:00:00+00,,,1471179.23487525,509524.47897753,Mecklenburg
206,WRDP,William R. Davie Park,4635 PINEVILLE-MATTHEWS RD,4635, ,PINEVILLE-MATTHEWS,RD, ,CHARLOTTE,NC,28226,Regional,Developed,South,,,,9803141003,,,District 7,District 6,2008/05/14 00:00:00+00,,,1460098.028438,492722.57866834,Mecklenburg
207,YCPP,Yacht Club Park Playground,18625 HARBOR LIGHT BV,18625,,HARBOR LIGHT,BV,,CORNELIUS,NC,28031,Town Park,Developed,North,,,,7048926031,,,,District 1,2001/10/01 00:00:00+00,,,1424740.2222424,631157.33082986,Cornelius
208,SMTP,Smithville Park,19710 FERRY ST,19710,S,FERRY,ST,,CORNELIUS,NC,28031,Town Park,Developed,North,,,,7048926031,,,,District 1,2005/06/18 00:00:00+00,,,1443478.87848711,636031.88140346,Cornelius
209,HUTP,The Hut,413 JOHNSTON DR,413,,JOHNSTON,DR,,PINEVILLE,NC,28134,Event Venue,Developed,South,,,,7048892400,,,,District 6,,,,1434315.26340376,490207.87741906,Pineville
210,LCCP,L.C. Coleman Park,1501 MCDONALD ST,1501, ,MCDONALD,ST, ,CHARLOTTE,NC,28216,Neighborhood,Developed,Central,,,,9803141002,,,District 2,District 2,1998/11/06 00:00:00+00,,,1444327.0146634,554187.11611716,Mecklenburg
211,PNVP,Lakeview Park,1310 LAKEVIEW DR,0, ,NO ADDRESS, , ,PINEVILLE,NC,28134,Community,Undeveloped,South,,,,9803141003,,,,District 6,1998/09/18 00:00:00+00,,,1431565.44066666,488079.88649209,Mecklenburg
212,LTLP,Little Peoples Park,1120 HARRILL ST,1200, ,HARRILL,ST, ,CHARLOTTE,NC,28205,Neighborhood,Developed,Central,,,,9803141002,,,District 1,District 3,1998/07/28 00:00:00+00,,,1456404.89647949,543042.17361002,Mecklenburg
213,EVER,Evergreen Nature Preserve,1336 NORLAND RD,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28205,Nature Preserve,Developed,South,,,,9803141003,,,District 5,District 4,1998/12/14 00:00:00+00,,,1468972.75050354,535558.50317217,Mecklenburg
214,PLCP,Plum Creek Park,18928 BARTLETTE CREEK DR,18928,,BARTLETTE CREEK,DR,,DAVIDSON,NC,28036,Town Park,Developed,North,,,,7048923349,,,,District 1,,,,1456980.91391623,632326.27366136,Davidson
215,BKTR,Brooktree Park,5121 BROOKTREE DR,5121,,BROOKTREE,DR,,CHARLOTTE,NC,28208,Neighborhood,Undeveloped,North,,,,9803141001,,,District 2,District 2,,,,1427963.33379596,557485.00070824,Mecklenburg
216,CRAP,Carolina Raptor Center,6000 SAMPLE RD,6000, ,SAMPLE,RD, ,HUNTERSVILLE,NC,28216,Raptor Center,Developed,North,,,,9803141001,,,,District 1,1998/07/28 00:00:00+00,,,1427937.70793793,588095.03273253,Mecklenburg
217,TMNT,T.M. Winget Nature Preserve,12222 WINGET RD,12222,,WINGET,RD,,CHARLOTTE,NC,28278,Nature Preserve,Developed,South,,,,9803141003,,,District 3,District 2,2022/11/01 16:23:31+00,,,1401843.15905027,507951.95397255,Mecklenburg
218,CALD,Caldwell Park,6301 CALDWELL PARK DR,0, , , ,NO,CHARLOTTE,NC,28213,Neighborhood,Undeveloped,North,,,,9803141001,,,,District 3,2016/09/01 00:00:00+00,,,1496887.17372103,572811.56435385,Mecklenburg
219,RMBL,Ramblewood Soccer Complex,10200 NATIONS FORD RD,10200, ,NATIONS FORD,RD, ,CHARLOTTE,NC,28273,Community,Developed,South,,,,9803141003,,,District 3,District 2,1998/07/28 00:00:00+00,,,1431192.57895136,504991.62226354,Mecklenburg
220,CLAR,Clarks Creek Greenway Park,9715 MALLARD CREEK RD,0, , , ,NO,CHARLOTTE,NC,28269,Neighborhood,Developed,North,,,,9803141001,,,District 4,District 1,2015/07/07 00:00:00+00,,,1469677.97475488,579434.75922409,Mecklenburg
221,STVN,Stevens Creek Nature Preserve,15700 THOMPSON RD,0, ,NO ADDRESS, , ,MINT HILL,NC,28227,Nature Preserve,Developed,South,,,,9803141003,,,,District 6,1998/10/06 00:00:00+00,,,1507866.41644157,512614.97370146,Mecklenburg
222,MIDW,Midwood Park,2100 WILHELMINA AV,2100, ,WILHELMINA,AV, ,CHARLOTTE,NC,28205,Neighborhood,Developed,Central,,,,9803141002,,,District 1,District 4,1998/07/28 00:00:00+00,,,1461718.34184265,543588.46608074,Mecklenburg
223,CADI,The Effortless Golf Center,10401 CADILLAC ST,0, , , , ,PINEVILLE,NC,28134,Golf Course,Developed,South,,,,9803141003,,,,District 6,2009/01/02 00:00:00+00,,,1437564.62937276,495633.6693612,Mecklenburg
224,PILP,Pineville Lake Park,909 LAKEVIEW DR,909,,LAKEVIEW,DR,,PINEVILLE,NC,28134,Town Park,Developed,South,,,,7048892400,,,,District 6,,,,1433097.29546663,489221.54634482,Pineville
225,LIND,Delta Creek Park,7300 LINDA LAKE DR,0, , , , ,CHARLOTTE,NC,28215,Neighborhood,Developed,North,,,,9803141001,,,District 5,District 3,1998/12/15 00:00:00+00,,,1484133.10594672,548323.96792725,Mecklenburg
226,EBMP,EB Moore Park,901 MARSH RD,901, ,MARSH,RD,NO,CHARLOTTE,NC,28209,Neighborhood,Developed,Central,,,,9803141002,,,District 1,District 4,1998/07/28 00:00:00+00,,,1444753.8452014,528449.99383067,Mecklenburg
227,WGRC,T.M. Winget Recreation Center,12235 WINGET RD,0, , , , ,CHARLOTTE,NC,28278,Recreation Center,Developed,South,,,,9803141103,,,District 3,District 2,1994/10/17 00:00:00+00,,,1401928.4519694,508402.43249278,Mecklenburg
228,AFRM,Abersham Park,22031 SHEARER RD,22031, ,SHEARER,RD, ,DAVIDSON,NC,28036,Town Park,Developed,North,,,,7048923349,,,,District 1,2008/04/17 00:00:00+00,,,1465333.35861157,644219.2038587,Davidson
229,CLEM,Davis Flohr Park,3020 CLEMSON AV,3020, ,CLEMSON,AV, ,CHARLOTTE,NC,28205,Neighborhood,Developed,Central,,,,9803141002,,,District 1,District 4,1998/07/28 00:00:00+00,,,1461636.74436203,547720.81842895,Mecklenburg
230,CEDR,Cedarwood Park,6624 REDDMAN RD,6624, ,REDDMAN,RD, ,CHARLOTTE,NC,28212,Neighborhood,Developed,South,,,,9803141003,,,District 5,District 4,1998/07/28 00:00:00+00,,,1477174.59192212,529105.6790763,Mecklenburg
231,EASR,Eastway Regional Recreation Center,3150 EASTWAY PARK DR,3150, ,EASTWAY PARK,DR, ,CHARLOTTE,NC,28213,Recreation Center,Developed,North,,,,9803141001,,,District 1,District 3,,,,1469889.38047537,552535.05689816,Mecklenburg
232,GCNP,Gar Creek Nature Preserve,10020 MCCOY RD,0, ,NO ADDRESS, , ,HUNTERSVILLE,NC,28078,Nature Preserve,Developed,North,,,,9803141001,,,,District 1,2002/05/13 00:00:00+00,,,1437984.06930739,592017.11124243,Mecklenburg
233,TEDD,Teddington Park,5517 FREEDOM DR,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28214,Neighborhood,Undeveloped,North,,,,9803141001,,,District 2,District 2,2003/07/11 00:00:00+00,,,1424012.93169376,557594.02880353,Mecklenburg
234,ARGC,Arbor Glen Outreach Center,1520 CLANTON RD,1520, ,CLANTON,RD, ,CHARLOTTE,NC,28217,Recreation Center,Developed,Central,,,,9803141110,,,District 3,District 2,2002/04/03 00:00:00+00,,,1434541.76669854,535919.85458604,Mecklenburg
235,MELD,Melody Park,10832 KEMPSFORD DR,10832,,KEMPSFORD,DR,,CHARLOTTE,NC,28262,Community,Undeveloped,North,,,,7048926031,,,District 4,District 3,2022/01/19 00:00:00+00,,,1490733.42973688,578182.74293155,Mecklenburg
236,THRD,James Dennis Rash Park,1001 W 4TH ST EXT,1001,W,4TH,ST, ,CHARLOTTE,NC,28202,Neighborhood,Developed,Central,,,,9803141002,,,District 2,District 4,1998/07/28 00:00:00+00,,,1446096.74132459,544878.97410621,Mecklenburg
237,HEMS,Huntersville Elementary School,200 GILEAD RD,200,,GILEAD,RD,,HUNTERSVILLE,NC,28078,Town Park,Developed,North,,,,7047662220,,,,District 1,,,,1450080.01519918,610140.56953767,Huntersville
238,AMSG,Alexander Middle School Gymnasium,12010 HAMBRIGHT RD,12010,,HAMBRIGHT,RD,,HUNTERSVILLE,NC,28078,Recreation Center,Developed,North,,,,7047662220,,,,District 1,,,,1452055.59213567,596972.00058875,Huntersville
239,LTRC,Robert L. Smith Park,1604 LITTLE ROCK RD,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28214,Regional,Developed,North,,,,9803141001,,,District 3,District 2,1998/09/02 00:00:00+00,,,1420685.09826332,553808.95696804,Mecklenburg
240,WEPK,Romare Bearden Park,300 S CHURCH ST,0, , , , ,CHARLOTTE,NC,28202,Neighborhood,Developed,Central,,,,9803141002,,,District 2,District 4,2009/04/24 00:00:00+00,,,1448476.75272107,542416.8191614,Mecklenburg
241,MBTL,Mary Beaty Tot Lot,128 S MAIN ST,128,S,MAIN,ST,,DAVIDSON,NC,28036,Town Park,Developed,North,,,,7048923349,,,,District 1,,,,1449576.10934444,641448.45853005,Davidson
242,RCNC,Reedy Creek Nature Center,2986 ROCKY RIVER RD,2986, ,ROCKY RIVER,RD, ,CHARLOTTE,NC,28215,Nature Center,Developed,North,,,,9803141001,,,District 5,District 3,2016/07/06 00:00:00+00,,,1486782.38002902,554634.27788732,Mecklenburg
243,ALEX,Alexander Park,739 E 12TH ST,739,E,12TH,ST, ,CHARLOTTE,NC,28206,Neighborhood,Developed,Central,,,,9803141002,,,District 1,District 4,2002/03/18 00:00:00+00,,,1454368.71044706,542959.23087533,Mecklenburg
244,NAOM,Naomi Drenan Recreation Center,750 BEAL ST,750, ,BEAL,ST, ,CHARLOTTE,NC,28211,Recreation Center,Developed,South,,,,9803141100,,,District 6,District 5,1998/07/28 00:00:00+00,,,1463345.98229094,528923.61070775,Mecklenburg
245,LHTP,Lincoln Heights Park,1819 CATHERINE SIMMONS AV,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28216,Neighborhood,Developed,Central,,,,9803141002,,,District 2,District 3,1998/10/12 00:00:00+00,,,1447992.44946042,555882.63667747,Mecklenburg
246,ADMN,Meck Co Parks & Recreation Administration,5841 BROOKSHIRE BV,5841, ,BROOKSHIRE,BV, ,CHARLOTTE,NC,28216,Operational,Operational,North,,,,9803141001,,,District 2,District 2,2007/07/09 00:00:00+00,,,1432352.08494513,562959.61062852,Mecklenburg
247,INDP,Independence Park,1835 PARK DR,1835,,PARK,DR,,CHARLOTTE,NC,28204,Neighborhood,Under Construction,Central,,,,9803141002,,,District 1,District 4,1998/07/28 00:00:00+00,,,1455936.9592108,537357.19269666,Mecklenburg
248,DOWD,Dowd Park,2521 GREENLAND AV,2521, ,GREENLAND,AV, ,CHARLOTTE,NC,28208,Neighborhood,Developed,Central,,,,9803141002,,,District 2,District 2,1998/07/28 00:00:00+00,,,1437751.24011037,542495.82787202,Mecklenburg
249,DAVP,Clarks Creek Park,5435 HUCKS RD,0, , , , ,CHARLOTTE,NC,28269,Community,Developed,North,,,,9803141001,,,District 4,District 1,2003/07/11 00:00:00+00,,,1460042.41216129,587800.52529742,Mecklenburg
250,WING,Wingate Park,2721 MAYFAIR AV,2731, ,MAYFAIR,AV, ,CHARLOTTE,NC,28208,Neighborhood,Under Construction,Central,,,,9803141002,,,District 3,District 2,1998/11/24 00:00:00+00,,,1430094.12521984,538449.69929017,Mecklenburg
251,INDP,Independence Park,1631 PARK DR,1631, ,PARK,DR,NO,CHARLOTTE,NC,28204,Neighborhood,Under Construction,Central,,,,9803141002,,,District 1,District 4,1998/07/28 00:00:00+00,,,1455238.79121213,538372.31700939,Mecklenburg
252,BLUF,Bluff Hill Park,4845 ROCKY RIVER RD,,,ROCK RIVER,RD,,CHARLOTTE,NC,28215,Neighborhood,Undeveloped,North,,,,9803141001,,,District 5,District 3,,,,1495610.26677795,560285.14842369,Mecklenburg
253,MCCP,McAlpine Creek Park,8711 MONROE RD,8711, ,MONROE,RD, ,CHARLOTTE,NC,28212,Regional,Developed,South,,,,9803141003,,,District 6,District 4,2008/05/14 00:00:00+00,,,1478221.48914367,514435.24788445,Mecklenburg
254,OAKH,Oak Hills Park,4120 OAKDALE RD,4120,,OAKDALE,RD,,CHARLOTTE,NC,28216,Regional,Undeveloped,North,,,,9803141001,,,,District 1,2018/05/01 00:00:00+00,,,1430613.64837724,579807.89831959,Mecklenburg
255,RAMA,Rama Road Park,1035 RAMA RD,1035, ,RAMA,RD, ,CHARLOTTE,NC,28211,Neighborhood,Developed,South,,,,9803141003,,,District 5,District 5,1998/07/28 00:00:00+00,,,1470618.59772262,521106.15466614,Mecklenburg
256,AUTN,Auten Nature Preserve,5201 NECK RD,0, ,NO ADDRESS, , ,HUNTERSVILLE,NC,28078,Nature Preserve,Undeveloped,North,,,,9803141001,,,,District 1,2002/03/18 00:00:00+00,,,1423739.76122887,597954.16281657,Mecklenburg
257,SQLP,Squirrel Lake Park,1631 PLEASANT PLAINS RD,1631,,PLEASANT PLAINS,RD,,MATTHEWS,NC,28105,Town Park,Developed,South,,,,7043217275,,,,District 6,,,,1484177.34866445,495114.8623255,Matthews
258,LATC,Latta Recreation Center,510 E PARK AV,510, ,EAST PARK,AV, ,CHARLOTTE,NC,28203,Recreation Center,Developed,Central,,,,9803141002,,,District 1,District 4,1998/07/28 00:00:00+00,,,1446945.09617664,536587.88529377,Mecklenburg
259,TCES,Torrence Creek Elementary School,14550 RANSON RD,14550,,RANSON,RD,,HUNTERSVILLE,NC,28078,Town Park,Developed,North,,,,7047662220,,,,District 1,,,,1441909.030432,610500.39474918,Huntersville
260,FRST,First Ward Park,309 E 7TH ST,309,E,7TH,ST, ,CHARLOTTE,NC,28202,Neighborhood,Developed,Central,,,,9803141002,,,District 1,District 4,2015/12/08 00:00:00+00,,,1451815.42619325,542871.34286082,Mecklenburg
261,RENP,Reedy Creek Nature Preserve,2900 ROCKY RIVER RD,2900, ,ROCKY RIVER,RD, ,CHARLOTTE,NC,28215,Nature Preserve,Developed,North,,,,9803141001,,,District 5,District 3,1998/07/28 00:00:00+00,,,1487659.75081368,560034.73514879,Mecklenburg
262,MTHP,Methodist Home Park,3200 SHAMROCK DR,3200, ,SHAMROCK,DR, ,CHARLOTTE,NC,28205,Neighborhood,Developed,South,,,,9803141003,,,District 1,District 4,1998/07/28 00:00:00+00,,,1470191.8756512,544757.62557259,Mecklenburg
263,ERGP,East Region Gap Park,7709 PLOTT RD,7709,,PLOTT,RD,,CHARLOTTE,NC,28215,Neighborhood,Undeveloped,North,,,,9803141001,,,District 5,District 3,,,,1487340.6446564,548680.55610019,Mecklenburg
264,FIFP,Fisher Farm Park,21135 FISHER RD,21135,,FISHER,RD,,DAVIDSON,NC,28036,Town Park,Developed,North,,,,7048923349,,,,District 1,,,,1465396.67820463,639921.62446992,Davidson
265,SIXP,Sixteenth Street Park,620 E 16TH ST,620,E,16TH,ST, ,CHARLOTTE,NC,28206,Neighborhood,Developed,Central,,,,9803141002,,,District 1,District 4,1997/09/29 00:00:00+00,,,1455531.69220704,544477.23660906,Mecklenburg
266,METO,Second Ward Gymnasium,710 E MARTIN LUTHER KING JR BV,710,E,MARTIN LUTHER KING JR,BV,,CHARLOTTE,NC,28202,Recreation Center,Developed,Central,,,,9803141002,,,District 1,District 4,2018/10/09 00:00:00+00,,,1450307.35237797,539411.60438643,Mecklenburg
267,KLBN,Kilborne Park,2600 KILBORNE DR,2600, ,KILBORNE,DR, ,CHARLOTTE,NC,28205,Community,Developed,South,,,,9803141003,,,District 5,District 4,1998/07/28 00:00:00+00,,,1471109.58644849,539906.1002422,Mecklenburg
268,WILG,Park on Wilgrove,7750 JIM HARPER LN,7750,,JIM HARPER,LN,,MINT HILL,NC,28227,Town Park,Developed,South,,,,7045459726,,,,District 6,,,,1505268.29171869,528105.90264249,Mint Hill
269,FIVE,Five Points Park,200 FRENCH ST,200, ,FRENCH,ST,NO,CHARLOTTE,NC,28216,Neighborhood,Developed,Central,,,,9803141002,,,District 2,District 2,1998/07/28 00:00:00+00,,,1444767.37033577,550517.40283409,Mecklenburg
270,PKTN,Park Road Tennis Center,6215 PARK RD,6215, ,PARK,RD, ,CHARLOTTE,NC,28210,Tennis Center,Developed,South,,,,9803141003,,,District 6,District 5,1998/07/28 00:00:00+00,,,1447106.94458158,513334.50811994,Mecklenburg
271,DBWF,David B. Waymer Aeromodeller Park,15401 HOLBROOKS RD,15401, ,HOLBROOKS,RD, ,HUNTERSVILLE,NC,28078,Regional,Developed,North,,,,9803141001,,,,District 1,1998/07/28 00:00:00+00,,,1458548.65340827,606108.89385831,Mecklenburg
272,PENC,Hickory Grove Park,6709 PENCE RD,6709, ,PENCE,RD, ,CHARLOTTE,NC,28227,Neighborhood,Developed,South,,,,9803141003,,,District 5,District 4,2003/07/11 00:00:00+00,,,1487149.65749528,541545.55823176,Mecklenburg
