OBJECTID,PRKID,PRKNAME,PRKADDR,STREETNO,STREETDIR,STREETNM,STREETTYPE,STREETSUFF,CITY,STATE,ZIP,PRKTYPE,PRKSTATUS,PRKDIST,PRKSIZE,PRKXCOORD,PRKYCOORD,PRKPHONE,PRKAGE,PRKADAACC,CITYCOUNCI,BOCC,PRKDATE,USERID,UPSIZE_TS,X,Y,LEASEDID
273,UPST,Berewick Park,5920 DIXIE RIVER RD,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28208,Regional,Developed,South,,,,9803141003,,,District 3,District 2,1998/10/06 00:00:00+00,,,1408120.60530096,523981.07222036,Mecklenburg
274,BRMS,Bradley Middle School,13345 BEATTIES FORD RD,13345,,BEATTIES FORD,RD,,HUNTERSVILLE,NC,28078,Town Park,Developed,North,,,,7047662220,,,,District 1,,,,1426810.05643365,604835.70666416,Huntersville
275,JACK,Jack Hughes Park,330 JACK HUGHES LN,330,,JACK HUGHES,LN,,PINEVILLE,NC,28134,Town Park,Developed,South,,,,7048892400,,,,District 6,,,,1433272.07645898,491510.14768398,Pineville
276,STMY,St. Marys Chapel,1129 E 3RD ST,1129,E,3RD,ST, ,CHARLOTTE,NC,28204,Event Venue,Developed,Central,,,,7043331235,,,District 1,District 4,1998/07/28 00:00:00+00,,,1452404.81152311,538524.24659932,Mecklenburg
277,ROCK,Theresea C. Elder Park,6325 ROCKWELL CHURCH RD,6325, ,ROCKWELL CHURCH,RD, ,CHARLOTTE,NC,28269,Neighborhood,Developed,North,,,,9803141001,,,District 2,District 3,1998/10/12 00:00:00+00,,,1463108.37585601,571111.24585602,Mecklenburg
278,BDHP,Beaver Dam Historic Park and House,19600 DAVIDSON-CONCORD RD,19600,,DAVIDSON-CONCORD,RD,,DAVIDSON,NC,28036,Historic Site,Developed,North,,,,7044175884,,,,District 1,,,,1458860.04739739,632966.9563756,Davidson
279,OLRC,Ivory-Baker Recreation Center,1920 STROUD PARK CT,1295, ,EUREKA,ST, ,CHARLOTTE,NC,28206,Recreation Center,Developed,Central,,,,9803141112,,,District 1,District 2,2008/02/26 00:00:00+00,,,1450576.28239293,550968.1707122,Mecklenburg
280,BAIL,Bailey Road Park,11536 BAILEY RD,11536,,BAILEY,RD,,CORNELIUS,NC,28031,Town Park,Developed,North,,,,7048926031,,,,District 1,2002/11/16 00:00:00+00,,,1450840.99998283,629579.99989067,Cornelius
281,TCEM,Torrence Creek Elementary Multipurpose Room,14550 RANSON RD,14550,,RANSON,RD,,HUNTERSVILLE,NC,28078,Recreation Center,Developed,North,,,,7047662220,,,,District 1,,,,1441886.37404844,610058.64158768,Huntersville
282,CLAG,Clanton Park Community Garden,3010 BARRINGER DR,3010,,BARRINGER,DR,,CHARLOTTE,NC,28217,Community Garden,Developed,Central,,,,9803141002,,,District 3,District 2,2019/03/25 16:29:41+00,,,1437598.02941209,535681.41514111,Mecklenburg
283,WOOD,Double Oaks Family Aquatic Center,2014 STATESVILLE AV,2014, ,STATESVILLE,AV, ,CHARLOTTE,NC,28206,Aquatic Center,Developed,Central,,,,7043340308,,,District 1,District 3,2017/01/10 00:00:00+00,,,1451993.0695186,550910.39545399,Mecklenburg
284,MARM,Marmac Road Park,6602 TUCKASEEGEE RD,0, , , ,NO,CHARLOTTE,NC,28266,Community,Undeveloped,North,,,,9803141001,,,District 2,District 2,2008/04/21 00:00:00+00,,,1425065.21142533,549557.64270806,Mecklenburg
285,PVLY,Pine Valley Park,1910 LONGLEAF DR,1910, ,LONGLEAF,DR, ,CHARLOTTE,NC,28210,Neighborhood,Developed,South,,,,9803141003,,,District 6,District 5,2000/08/18 00:00:00+00,,,1439096.09585604,500866.49523102,Mecklenburg
286,TRYH,Tryon Hills Park,220 W 30TH ST,220,W,30TH,ST, ,CHARLOTTE,NC,28206,Neighborhood,Developed,Central,,,,9803141002,,,District 1,District 3,1998/07/28 00:00:00+00,,,1457376.33372802,550990.94827913,Mecklenburg
287,HAWC,Hawthorne Recreation Center,345 HAWTHORNE LN,345, ,HAWTHORNE,LN, ,CHARLOTTE,NC,28204,Recreation Center,Developed,Central,,,,9803141002,,,District 1,District 4,1998/07/28 00:00:00+00,,,1455564.44969682,538311.8351156,Mecklenburg
288,FSPK,Firestone Park,3501 FIRESTONE DR,3501, ,FIRESTONE,DR, ,CHARLOTTE,NC,28216,Community,Developed,North,,,,9803141001,,,District 2,District 2,1998/07/28 00:00:00+00,,,1441270.35690401,564949.79455027,Mecklenburg
289,CTPP,Country Place Park,557 S TRADE ST,557,S,TRADE,ST,,MATTHEWS,NC,28105,Town Park,Developed,South,,,,7043217275,,,,District 6,,,,1483706.86485314,500003.80142586,Matthews
290,MCEF,McEver Athletic Field,626 SOUTH ST,626,,SOUTH,ST,,DAVIDSON,NC,28036,Town Park,Developed,North,,,,7048923349,,,,District 1,,,,1449550.49382198,638675.84321685,Davidson
291,WINT,Winterfield Park,3010 WINTERFIELD PL,0, , , ,NO,CHARLOTTE,NC,28205,Neighborhood,Developed,South,,,,9803141003,,,District 5,District 4,2008/04/21 00:00:00+00,,,1472619.60050797,535594.48662441,Mecklenburg
292,FRPP,Forest Park Playground,421 N FAULKNER WY,421,N,FAULKNER,WY,,DAVIDSON,NC,28036,Town Park,Developed,North,,,,7048923349,,,,District 1,,,,1455570.02491346,640015.7188917,Davidson
293,SUGP,Sugaw Creek Park,941 W SUGAR CREEK RD,941,W,SUGAR CREEK,RD, ,CHARLOTTE,NC,28213,Community,Developed,North,,,,9803141001,,,District 1,District 3,1998/07/28 00:00:00+00,,,1464549.7428548,558881.35640267,Mecklenburg
294,AMJP,Amay James Park,2415 LESTER ST,2414, ,LESTER,ST, ,CHARLOTTE,NC,28208,Community,Undeveloped,Central,,,,9803141002,,,District 3,District 2,2007/05/01 00:00:00+00,,,1432091.48092398,534479.22389659,Mecklenburg
295,BUCK,Buckthorn Park,9732 RESEARCH DR,9732,,RESEARCH,DR,,CHARLOTTE,NC,28262,Community,Undeveloped,North,,,,9803141001,,,District 4,District 3,,,,1472346.49951363,575737.24434432,Mecklenburg
296,LATP,Latta Park,601 E PARK AV,601, ,EAST PARK,AV, ,CHARLOTTE,NC,28203,Community,Developed,Central,,,,9803141002,,,District 1,District 4,1998/07/28 00:00:00+00,,,1447160.20310442,536339.03787497,Mecklenburg
297,KUCK,Kuck Road Park,7221 KUCK RD,7221,,KUCK,RD,,CHARLOTTE,NC,28227,Community,Undeveloped,South,,,,9803141003,,,,District 6,,,,1497796.1475959,528730.22281301,Mecklenburg
298,ENDP,Enderly Park,1501 ENDERLY RD,1501, ,ENDERLY,RD, ,CHARLOTTE,NC,28208,Neighborhood,Developed,Central,,,,9803141002,,,District 2,District 2,1998/07/28 00:00:00+00,,,1437471.94602053,547784.50669992,Mecklenburg
299,TRGL,Tradition Golf Course,3800 PROSPERITY CHURCH RD,3800, ,PROSPERITY CHURCH,RD, ,CHARLOTTE,NC,28269,Golf Course,Developed,North,,,,9803141001,,,District 4,District 1,1998/07/28 00:00:00+00,,,1470357.59591368,587398.52793188,Mecklenburg
300,ALHS,Alexandriana Historic Site,9921 OLD STATESVILLE RD,9921, ,OLD STATESVILLE,RD, ,CHARLOTTE,NC,28269,Historic,Developed,North,,,,9803141001,,,,District 1,2002/03/18 00:00:00+00,,,1456584.95819536,590193.80291852,Mecklenburg
301,FREE,Freedom Park,2435 CUMBERLAND AV,2435, ,CUMBERLAND,AV, ,CHARLOTTE,NC,28203,Regional,Developed,Central,,,,9803141002,,,District 1,District 5,2007/10/24 00:00:00+00,,,1448885.7145374,529821.92946027,Mecklenburg
302,SCES,Steele Creek Park,4000 GALLANT LN,4100, ,GALLANT,LN, ,CHARLOTTE,NC,28273,Neighborhood,Developed,South,,,,9803141003,,,District 3,District 2,1998/07/28 00:00:00+00,,,1415167.52753571,517582.41251783,Mecklenburg
303,THMP,Thompson Park,1125 E 3RD ST,1125,E,3RD,ST,NO,CHARLOTTE,NC,28204,Neighborhood,Developed,Central,,,,9803141002,,,District 1,District 4,1998/09/02 00:00:00+00,,,1452180.28784005,538692.21289629,Mecklenburg
304,MDLP,Marion Diehl Park,2219 TYVOLA RD,2219, ,TYVOLA,RD, ,CHARLOTTE,NC,28210,Community,Developed,South,,,,9803141003,,,District 6,District 5,1998/07/28 00:00:00+00,,,1444771.98787269,518024.40859166,Mecklenburg
305,REVG,Charles L. Sifford Golf Course,2661 BARRINGER DR,2661, ,BARRINGER,DR, ,CHARLOTTE,NC,28208,Golf Course,Developed,Central,,,,9803141002,,,District 3,District 2,1998/07/28 00:00:00+00,,,1438529.89826541,537556.82950771,Mecklenburg
306,CORP,Cordelia Park,600 E 24TH ST,600,E,24TH,ST, ,CHARLOTTE,NC,28205,Community,Developed,Central,,,,9803141002,,,District 1,District 3,1998/08/12 00:00:00+00,,,1457990.58175288,546282.87727021,Mecklenburg
307,MCTO,McIlwaine Park,8101 MCILWAINE RD,0, , , ,NO,HUNTERSVILLE,NC,28078,Regional,Undeveloped,North,,,,9803141001,,,,District 1,2012/07/25 00:00:00+00,,,1434385.49585602,603436.37585603,Mecklenburg
308,WIND,Windsor Park,10150 NORTHEAST PY,10150,,NORTHEAST,PY,,MATTHEWS,NC,28105,Town Park,Developed,South,,,,7043217275,,,,District 6,,,,1489748.23313747,507423.45735948,Matthews
309,RHMG,Robert Heywood Morrison Garden,1445 HARDING PL,1445, ,HARDING,PL, ,CHARLOTTE,NC,28204,Flower Garden,Developed,Central,,,,9803141002,,,District 1,District 4,,,,1451247.00015518,535080.99991274,Mecklenburg
310,FTRP,Fountain Rock Park,311 S TRADE ST,311,S,TRADE,ST,,MATTHEWS,NC,28105,Town Park,Developed,South,,,,7043217275,,,,District 6,,,,1485305.58268209,499137.34330002,Matthews
311,ECPK,East Charlotte Park,8035 E W T HARRIS BV,,E,W T HARRIS,BV,,CHARLOTTE,NC,28227,Community,Undeveloped,South,,,,9803141003,,,District 5,District 4,,,,1484508.31256941,536290.88758481,Mecklenburg
312,IBMD,IBM Drive Park,6920 IBM DR,6920,,IBM,DR,,CHARLOTTE,NC,28262,Community,Undeveloped,North,,,,9803141001,,,District 2,District 3,,,,1469769.08229811,572100.28659087,Mecklenburg
313,TYVS,Tyvola Senior Center,2225 TYVOLA RD,0, , , , ,CHARLOTTE,NC,28210,Senior Center,Developed,South,,,,9803141320,,,District 6,District 5,1998/11/17 00:00:00+00,,,1444246.53676856,518360.69520049,Mecklenburg
314,FRND,Friendship Sportsplex,2310 CINDY LN,2310, ,CINDY,LN, ,CHARLOTTE,NC,28216,Regional,Developed,North,,,,9803141001,,,District 2,District 2,,,,1447108.33457342,563216.1885064,Mecklenburg
315,FALK,Faulkner Square Park,266 CONROY AV,266,,CONROY,AV,,DAVIDSON,NC,28036,Town Park,Developed,North,,,,7048923349,,,,District 1,,,,1454541.51828277,640409.64925835,Davidson
316,MATH,Mecklenburg County Sports Complex,2425 SPORTS PY,0, ,NO ADDRESS, , ,MATTHEWS,NC,28105,Regional,Developed,South,,,,9803147539,,,,District 6,1998/10/06 00:00:00+00,,,1490721.29780278,498490.27042837,Mecklenburg
317,HACC,Huntersville Arts & Cultural Center,109 S OLD STATESVILLE RD,109,S,OLD STATESVILLE,RD,,HUNTERSVILLE,NC,28078,Arts Center,Developed,North,,,,7047662220,,,,District 1,,,,1450988.26230925,609278.64484783,Huntersville
318,SPRG,Springfield Park,6700 DEANWOOD PL,6700, ,DEANWOOD,PL, ,CHARLOTTE,NC,28217,Neighborhood,Developed,South,,,,9803141003,,,District 3,District 2,1998/07/28 00:00:00+00,,,1431135.07638188,518528.05935124,Mecklenburg
319,BUTL,Butler High School Tennis Courts,1810 MATTHEWS-MINT HILL RD,1810,,MATTHEWS-MINT HILL,RD,,MATTHEWS,NC,28105,Town Park,Developed,South,,,,7043217275,,,,District 6,,,,1493681.95558698,503064.34528963,Matthews
320,H521,Elon Park,11435 ARDREY KELL RD,11435, ,ARDREY KELL,RD, ,CHARLOTTE,NC,28277,Regional,Developed,South,,,,9803141003,,,District 7,District 6,1998/10/06 00:00:00+00,,,1447621.31854632,468246.04877774,Mecklenburg
321,MTLD,Rozzelles Ferry Nature Preserve,11840 MOUNTAIN ISLAND BROOK LN,11840, ,MOUNTAIN ISLAND BROOK,LN, ,CHARLOTTE,NC,28214,Nature Preserve,Undeveloped,North,,,,9803141001,,,,District 1,2014/05/23 00:00:00+00,,,1412864.09585604,587349.79585603,Mecklenburg
322,RRAP,River Run Athletic Park,13130 ROBERT WALKER DR,13130,,ROBERT WALKER,DR,,DAVIDSON,NC,28036,Town Park,Developed,North,,,,7048923349,,,,District 1,,,,1458398.85933377,633774.56458415,Davidson
323,UNTY,Unity Park,6401 KELSEY DR,6401, ,KELSEY,RD, ,CHARLOTTE,NC,28215,Neighborhood,Developed,North,,,,9803141001,,,District 5,District 3,1998/07/28 00:00:00+00,,,1476805.59585604,552276.89585602,Mecklenburg
324,GRAM,Graham Street Park,5430 N GRAHAM ST,5430,N,GRAHAM,ST,,CHARLOTTE,NC,28269,Neighborhood,Undeveloped,North,,,,9803141001,,,District 1,District 3,,,,1462877.74654974,564493.64219312,Mecklenburg
325,STPH,Buckeye Cove Nature Preserve,4918 CASHION RD,0, , , , ,HUNTERSVILLE,NC,28078,Nature Preserve,Developed,North,,,,9803141001,,,,District 1,1998/07/28 00:00:00+00,,,1420020.67790222,610417.12143555,Mecklenburg
326,CARM,Carmel Road Park,2365 CARMEL RD,2365, ,CARMEL,RD, ,CHARLOTTE,NC,28226,Neighborhood,Developed,South,,,,9803141003,,,District 6,District 5,1998/07/28 00:00:00+00,,,1459880.02071571,508712.68296185,Mecklenburg
327,JHWP,James Hoyt Wilhelm Park,19018 SMITH CR,19018,,SMITH,CR,,CORNELIUS,NC,28031,Town Park,Developed,North,,,,7048926031,,,,District 1,2016/09/09 00:00:00+00,,,1444958.72982845,634910.93526381,Cornelius
328,TOMH,Tom Hunter Park,919 TOM HUNTER RD,919, ,TOM HUNTER,RD, ,CHARLOTTE,NC,28213,Neighborhood,Developed,North,,,,9803141001,,,District 1,District 3,1998/07/28 00:00:00+00,,,1468324.17120452,560956.34764266,Mecklenburg
329,UNIV,University Meadows Park,1705 PAVILION BV,0, , , ,NO,CHARLOTTE,NC,28262,Neighborhood,Developed,North,,,,9803141001,,,District 4,District 3,1998/07/28 00:00:00+00,,,1489071.06171681,573532.34954229,Mecklenburg
330,CMGP,Camp Greene Park,1221 ALLEGHANY ST,1221, ,ALLEGHANY,ST, ,CHARLOTTE,NC,28208,Community,Developed,Central,,,,9803141002,,,District 2,District 2,1998/07/28 00:00:00+00,,,1435535.91090332,546692.18596114,Mecklenburg
331,MARS,Marshall Park,800 E 3RD ST,0, , , , ,CHARLOTTE,NC,28202,Neighborhood,Developed,Central,,,,9803141002,,,District 1,District 4,2009/04/24 00:00:00+00,,,1450791.70114774,540101.05587983,Mecklenburg
332,ARMY,Armory Training Center,1418 ARMORY DR,1418,,ARMORY,DR,,CHARLOTTE,NC,28204,Operational,Operational,Central,,,,7043362802,,,District 1,District 4,1997/09/29 00:00:00+00,,,1454807.16828242,539005.24236693,Mecklenburg
333,HOBP,Holbrook Park,100 SHERWOOD DR,100,,SHERWOOD,DR,,HUNTERSVILLE,NC,28078,Town Park,Developed,North,,,,7047662220,,,,District 1,,,,1450161.4940189,610322.06580691,Huntersville
334,SHRM,Sherman Branch Nature Preserve,12501 ROCKY RIVER CHURCH RD,0, ,NO ADDRESS, , ,MINT HILL,NC,28215,Nature Preserve,Developed,North,,,,9803141001,,,,District 4,1998/10/06 00:00:00+00,,,1512680.49572621,545396.31589623,Mecklenburg
335,GRNP,Greenville Park,1232 SPRING ST,1401, ,POLK,ST, ,CHARLOTTE,NC,28206,Neighborhood,Developed,Central,,,,9803141002,,,District 1,District 2,1998/07/28 00:00:00+00,,,1449720.39402698,549291.03819601,Mecklenburg
336,CATW,US National Whitewater Center,5000 WHITEWATER CENTER PY,5000, ,WHITEWATER CENTER,PY, ,CHARLOTTE,NC,28214,Regional,Developed,North,,,,7043913900,,,,District 2,2008/04/21 00:00:00+00,,,1402482.61939514,559750.50070059,USNWC
337,CCHG,Country Club Heights Community Garden,2909 DUNLAVIN WY,2909,,DUNLAVIN,WY,,CHARLOTTE,NC,28205,Community Garden,Developed,Central,,,,9803141000,,,District 1,District 4,2018/08/24 00:00:00+00,,,1468194.00005367,543629.99987501,Mecklenburg
338,MIDT,Midtown Park,510 S KINGS DR,510,S,KINGS,DR, ,CHARLOTTE,NC,28204,Neighborhood,Developed,Central,,,,9803141002,,,District 1,District 4,2004/08/03 00:00:00+00,,,1451630.38677025,536701.99483913,Mecklenburg
339,MCDP,McDowell Creek Park,8233 GILEAD RD,0, , , ,NO,HUNTERSVILLE,NC,28078,Neighborhood,Undeveloped,North,,,,9803141001,,,,District 1,2008/07/28 00:00:00+00,,,1437657.54485697,608366.99316941,Mecklenburg
340,PALI,York Road Palisades Park,15321 YORK RD,0, , , , ,CHARLOTTE,NC,28278,Neighborhood,Developed,South,,,,9803141003,,,,District 6,2015/07/07 00:00:00+00,,,1394552.99286804,495279.64324375,Mecklenburg
341,MHVP,Mint Hill Veterans Memorial Park,8850 FAIRVIEW RD,8850,,FAIRVIEW,RD,,MINT HILL,NC,28227,Town Park,Developed,South,,,,7045459726,,,,District 6,,,,1511681.90912287,524432.73462398,Mint Hill
342,FBNP,Flat Branch Nature Preserve,11833 TOM SHORT RD,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28277,Nature Preserve,Developed,South,,,,9803141003,,,District 7,District 6,2007/02/08 00:00:00+00,,,1463138.02903886,476484.23690237,Mecklenburg
343,MACC,Matthews Community Center,100 E MCDOWELL ST,100,E,MCDOWELL,ST,,MATTHEWS,NC,28105,Community Center,Developed,South,,,,7043217275,,,,District 6,,,,1485035.914606,500644.51835603,Matthews
344,EASP,Eastway Park,423 EASTWAY DR,423, ,EASTWAY,DR, ,CHARLOTTE,NC,28215,Community,Developed,North,,,,9803141001,,,District 1,District 3,2003/07/11 00:00:00+00,,,1468679.96446426,551894.88769855,Mecklenburg
345,NEWP,Newell Park,9130 NEWELL BAPTIST CHURCH RD,9130, ,NEWELL BAPTIST CHURCH,RD, ,CHARLOTTE,NC,28213,Community,Developed,North,,,,9803141001,,,District 4,District 3,1998/08/12 00:00:00+00,,,1482307.75023103,563623.75023104,Mecklenburg
346,CLAP,Dorothy D. Waddy Pavilion,3132 MANCHESTER DR,3132,,MANCHESTER,DR,,CHARLOTTE,NC,28217,Pavilion,Developed,Central,,,,9803141002,,,District 3,District 2,2019/02/25 16:36:18+00,,,1437385.00064817,535127.00014874,Mecklenburg
347,TRWD,Williams-Olmstead Park,1738 WEDDINGTON RD,1738,,WEDDINGTON,RD,,MATTHEWS,NC,28105,Neighborhood,Undeveloped,South,,,,9803141003,,,,District 6,,,,1482277.09200622,495761.97747803,Mecklenburg
348,BIGR,Big Rock Nature Preserve,6500 ELMSTONE DR,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28277,Nature Preserve,Developed,South,,,,9803141003,,,District 7,District 6,2002/03/18 00:00:00+00,,,1453468.37997213,482058.1874498,Mecklenburg
349,ENDC,Bette Rae Thomas Recreation Center,2921 TUCKASEEGEE RD,1220, ,CLAY,AV, ,CHARLOTTE,NC,28208,Recreation Center,Developed,Central,,,,9803141111,,,District 2,District 2,1998/07/28 00:00:00+00,,,1439430.5908764,548073.46003644,Mecklenburg
350,RGLF,Harry L. Jones Sr. Golf Course,1525 W TYVOLA RD,1525,W,TYVOLA,RD, ,CHARLOTTE,NC,28217,Golf Course,Developed,South,,,,9803141003,,,District 3,District 2,1998/07/28 00:00:00+00,,,1429241.28048983,524383.12844375,Mecklenburg
351,WCPK,West Charlotte Park,2401 KENDALL DR,2401, ,KENDALL,DR, ,CHARLOTTE,NC,28216,Neighborhood,Developed,Central,,,,9803141002,,,District 2,District 2,1998/07/28 00:00:00+00,,,1445799.3305285,557465.4290237,Mecklenburg
352,MDNC,McDowell Nature Center,15222 YORK RD,15222,S,YORK,RD, ,CHARLOTTE,NC,28278,Nature Center,Developed,South,,,,9803141128,,,,District 2,2016/07/06 00:00:00+00,,,1395753.30802515,497445.46991105,Mecklenburg
353,DWPK,Pottstown Park,612 DELLWOOD DR,612,,DELLWOOD,DR,,HUNTERSVILLE,NC,28078,Community,Undeveloped,North,,,,9803141001,,,,District 1,,,,1453839.44465318,607521.80637148,Mecklenburg
354,LOAK,Large Oak Park,8515 FAIRVIEW RD,8515,,FAIRVIEW,RD,,CHARLOTTE,NC,28227,Community,Undeveloped,South,,,,9803141003,,,,District 6,,,,1510363.96881631,524082.29969199,Mecklenburg
355,BLYT,Blythe Landing Park,15901 N C 73 HY,15901, ,NC 73,HY, ,HUNTERSVILLE,NC,28078,Community,Developed,North,,,,9803141001,,,,District 1,2007/09/11 00:00:00+00,,,1432786.65021694,618983.98806484,Mecklenburg
356,SHLD,Sheffield Park,1311 TARRINGTON AV,1311, ,TARRINGTON,AV, ,CHARLOTTE,NC,28205,Neighborhood,Developed,South,,,,9803141003,,,District 5,District 4,1998/07/28 00:00:00+00,,,1472235.77026607,534645.35929897,Mecklenburg
357,MCKE,McKee Road Park,4201 MCKEE RD,4201, ,MCKEE,RD, ,CHARLOTTE,NC,28270,Community,Developed,South,,,,9803141003,,,District 7,District 6,1998/10/07 00:00:00+00,,,1474330.29341434,484449.01842475,Mecklenburg
358,JRNP,Jetton Road Neighborhood Park,16000 JETTON RD,16000,,JETTON,RD,,CORNELIUS,NC,28031,Town Park,Developed,North,,,,7048926031,,,,District 1,2005/01/11 00:00:00+00,,,1422973.34617707,633131.29483245,Cornelius
359,REDY,Reedy Creek Park,2900 ROCKY RIVER RD,2900, ,ROCKY RIVER,RD, ,CHARLOTTE,NC,28215,Regional,Developed,North,,,,9803141001,,,District 5,District 3,2008/05/14 00:00:00+00,,,1487582.49572553,559996.49568534,Mecklenburg
360,CLKD,Eastfield Park,13729 EASTFIELD RD,0, ,NO ADDRESS, , ,HUNTERSVILLE,NC,28078,Regional,Undeveloped,North,,,,9803141001,,,,District 1,1998/10/09 00:00:00+00,,,1470575.23692437,602282.22707759,Mecklenburg
361,FRED,Fred Alexander Park,1832 GRIERS GROVE RD,1832, ,GRIERS GROVE,RD, ,CHARLOTTE,NC,28216,Neighborhood,Developed,North,,,,9803141001,,,District 2,District 2,1998/07/28 00:00:00+00,,,1445217.18097499,563028.35563226,Mecklenburg
362,RAMS,Ramsey Creek Park,18445 NANTZ RD,18445, ,NANTZ,RD, ,CORNELIUS,NC,28078,Community,Developed,North,,,,9803141001,,,,District 1,2008/05/14 00:00:00+00,,,1435742.00585605,630032.31648105,Mecklenburg
363,RCCG,Reedy Creek Community Garden,8832 GRIER RD,8832,,GRIER,RD,,CHARLOTTE,NC,28215,Community Garden,Developed,North,,,,9803141001,,,District 5,District 3,2009/05/14 10:25:41+00,,,1486564.67558268,559132.89997158,Mecklenburg
364,STHW,Southwest Park,1729 VILMA ST,1729, ,VILMA,ST,NO,CHARLOTTE,NC,28203,Community,Developed,Central,,,,9803141002,,,District 3,District 2,1999/04/01 00:00:00+00,,,1427454.67628101,537079.53329577,Mecklenburg
365,OMCH,Old Moores Chapel Park,9226 OLD MOORES CHAPEL RD,9226,,OLD MOORES CHAPEL,RD,,CHARLOTTE,NC,28214,Neighborhood,Undeveloped,North,,,,9803141001,,,District 3,District 2,,,,1415190.25106244,561261.74426705,Mecklenburg
